,Treatment,Compartment,Jar,Experiment,Sobs,Chao1,Shan,TreatComp,Treat.order,Comp.order
Ctrl.AS3.J1,Ctrl,AS,J1,Plasticiser,26,41,2.695668409,Ctrl.AS,a.Ctrl,b.AS
Ctrl.AS3.J2,Ctrl,AS,J2,Plasticiser,75,102.6,3.338903981,Ctrl.AS,a.Ctrl,b.AS
Ctrl.AS3.J3,Ctrl,AS,J3,Plasticiser,93,110.1,3.84209731,Ctrl.AS,a.Ctrl,b.AS
Ctrl.AS3.J4,Ctrl,AS,J4,Plasticiser,54,84.33333333,3.020451159,Ctrl.AS,a.Ctrl,b.AS
Ctrl.AS3.J5,Ctrl,AS,J5,Plasticiser,60,81.85714286,2.336159018,Ctrl.AS,a.Ctrl,b.AS
Ctrl.BS.J1,Ctrl,BS,J1,Plasticiser,82,98.5,3.562335087,Ctrl.BS,a.Ctrl,a.BS
Ctrl.BS.J2,Ctrl,BS,J2,Plasticiser,81,98.27272727,3.527369388,Ctrl.BS,a.Ctrl,a.BS
Ctrl.BS.J3,Ctrl,BS,J3,Plasticiser,81,109.5,4.032265686,Ctrl.BS,a.Ctrl,a.BS
Ctrl.BS.J4,Ctrl,BS,J4,Plasticiser,75,90,3.078011385,Ctrl.BS,a.Ctrl,a.BS
Ctrl.BS.J5,Ctrl,BS,J5,Plasticiser,63,74.33333333,2.743069711,Ctrl.BS,a.Ctrl,a.BS
Ctrl.P3.J1,Ctrl,P,J1,Plasticiser,35,37.14285714,1.27568693,Ctrl.P,a.Ctrl,c.P
Ctrl.P3.J2,Ctrl,P,J2,Plasticiser,21,35,1.044342741,Ctrl.P,a.Ctrl,c.P
Ctrl.P3.J3,Ctrl,P,J3,Plasticiser,29,31.5,1.309704505,Ctrl.P,a.Ctrl,c.P
Ctrl.P3.J4,Ctrl,P,J4,Plasticiser,43,77,1.68051788,Ctrl.P,a.Ctrl,c.P
Ctrl.P3.J5,Ctrl,P,J5,Plasticiser,21,26,1.479651328,Ctrl.P,a.Ctrl,c.P
DBP.AS3.J1,DBP,AS,J1,Plasticiser,54,63.23076923,1.389330482,DBP.AS,d.DBP,b.AS
DBP.AS3.J2,DBP,AS,J2,Plasticiser,70,85.16666667,3.517034962,DBP.AS,d.DBP,b.AS
DBP.AS3.J3,DBP,AS,J3,Plasticiser,69,74.25,3.851726646,DBP.AS,d.DBP,b.AS
DBP.AS3.J4,DBP,AS,J4,Plasticiser,53,58,3.530618298,DBP.AS,d.DBP,b.AS
DBP.AS3.J5,DBP,AS,J5,Plasticiser,66,77.375,2.448697601,DBP.AS,d.DBP,b.AS
DBP.BS.J1,DBP,BS,J1,Plasticiser,67,74.2,2.930185298,DBP.BS,d.DBP,a.BS
DBP.BS.J2,DBP,BS,J2,Plasticiser,80,84.5,4.058421985,DBP.BS,d.DBP,a.BS
DBP.BS.J3,DBP,BS,J3,Plasticiser,52,57.25,3.783084643,DBP.BS,d.DBP,a.BS
DBP.BS.J4,DBP,BS,J4,Plasticiser,68,83.6,4.055495558,DBP.BS,d.DBP,a.BS
DBP.BS.J5,DBP,BS,J5,Plasticiser,76,83.33333333,3.742680038,DBP.BS,d.DBP,a.BS
DBP.P3.J1,DBP,P,J1,Plasticiser,52,62,2.5846666,DBP.P,d.DBP,c.P
DBP.P3.J2,DBP,P,J2,Plasticiser,35,41.11111111,0.93447245,DBP.P,d.DBP,c.P
DBP.P3.J3,DBP,P,J3,Plasticiser,32,54.5,0.958157868,DBP.P,d.DBP,c.P
DBP.P3.J4,DBP,P,J4,Plasticiser,38,41,2.151571204,DBP.P,d.DBP,c.P
DBP.P3.J5,DBP,P,J5,Plasticiser,28,30,1.544379257,DBP.P,d.DBP,c.P
TBAC.AS3.J1,TBAC,AS,J1,Plasticiser,66,91.5,2.85741456,TBAC.AS,b.TBAC,b.AS
TBAC.AS3.J2,TBAC,AS,J2,Plasticiser,90,103.5714286,3.221826633,TBAC.AS,b.TBAC,b.AS
TBAC.AS3.J3,TBAC,AS,J3,Plasticiser,72,83.375,2.806039538,TBAC.AS,b.TBAC,b.AS
TBAC.AS3.J4,TBAC,AS,J4,Plasticiser,68,106,2.628554791,TBAC.AS,b.TBAC,b.AS
TBAC.AS3.J5,TBAC,AS,J5,Plasticiser,82,101.4615385,3.366361165,TBAC.AS,b.TBAC,b.AS
TBAC.BS.J1,TBAC,BS,J1,Plasticiser,62,69.09090909,3.379030969,TBAC.BS,b.TBAC,a.BS
TBAC.BS.J2,TBAC,BS,J2,Plasticiser,82,91.1,3.577563031,TBAC.BS,b.TBAC,a.BS
TBAC.BS.J3,TBAC,BS,J3,Plasticiser,76,79.11111111,3.945764152,TBAC.BS,b.TBAC,a.BS
TBAC.BS.J4,TBAC,BS,J4,Plasticiser,71,80.42857143,3.607597355,TBAC.BS,b.TBAC,a.BS
TBAC.BS.J5,TBAC,BS,J5,Plasticiser,71,81.5,3.578241038,TBAC.BS,b.TBAC,a.BS
TBAC.P3.J1,TBAC,P,J1,Plasticiser,39,52,1.013009596,TBAC.P,b.TBAC,c.P
TBAC.P3.J2,TBAC,P,J2,Plasticiser,26,29,0.438505665,TBAC.P,b.TBAC,c.P
TBAC.P3.J3,TBAC,P,J3,Plasticiser,27,32.6,0.468969679,TBAC.P,b.TBAC,c.P
TBAC.P3.J4,TBAC,P,J4,Plasticiser,29,44,0.523200629,TBAC.P,b.TBAC,c.P
TBAC.P3.J5,TBAC,P,J5,Plasticiser,38,191,0.794054173,TBAC.P,b.TBAC,c.P
TEC.AS1.J1,TEC,AS,J1,Plasticiser,46,48.5,3.138451251,TEC.AS,c.TEC,b.AS
TEC.AS1.J2,TEC,AS,J2,Plasticiser,54,61.85714286,3.804921099,TEC.AS,c.TEC,b.AS
TEC.AS1.J3,TEC,AS,J3,Plasticiser,54,80.25,2.220118932,TEC.AS,c.TEC,b.AS
TEC.AS1.J4,TEC,AS,J4,Plasticiser,58,75.5,2.845922948,TEC.AS,c.TEC,b.AS
TEC.AS1.J5,TEC,AS,J5,Plasticiser,73,84,3.759168424,TEC.AS,c.TEC,b.AS
TEC.BS.J1,TEC,BS,J1,Plasticiser,140,152.5,4.543235828,TEC.BS,c.TEC,a.BS
TEC.BS.J2,TEC,BS,J2,Plasticiser,52,57.6,3.611573869,TEC.BS,c.TEC,a.BS
TEC.BS.J3,TEC,BS,J3,Plasticiser,89,115.25,4.00627601,TEC.BS,c.TEC,a.BS
TEC.BS.J4,TEC,BS,J4,Plasticiser,57,84.5,4.013382231,TEC.BS,c.TEC,a.BS
TEC.BS.J5,TEC,BS,J5,Plasticiser,58,67.16666667,3.758399242,TEC.BS,c.TEC,a.BS
TEC.P1.J1,TEC,P,J1,Plasticiser,23,25.5,1.039513503,TEC.P,c.TEC,c.P
TEC.P1.J2,TEC,P,J2,Plasticiser,28,35,1.359715176,TEC.P,c.TEC,c.P
TEC.P1.J3,TEC,P,J3,Plasticiser,25,36.25,1.525473029,TEC.P,c.TEC,c.P
TEC.P1.J4,TEC,P,J4,Plasticiser,34,52.33333333,0.693070036,TEC.P,c.TEC,c.P
TEC.P1.J5,TEC,P,J5,Plasticiser,23,28.25,1.253299186,TEC.P,c.TEC,c.P
