,Ctrl.AS3.J1,Ctrl.AS3.J2,Ctrl.AS3.J3,Ctrl.AS3.J4,Ctrl.AS3.J5,Ctrl.BS.J1,Ctrl.BS.J2,Ctrl.BS.J3,Ctrl.BS.J4,Ctrl.BS.J5,Ctrl.P3.J1,Ctrl.P3.J2,Ctrl.P3.J3,Ctrl.P3.J4,Ctrl.P3.J5,DBP.AS3.J1,DBP.AS3.J2,DBP.AS3.J3,DBP.AS3.J4,DBP.AS3.J5,DBP.BS.J1,DBP.BS.J2,DBP.BS.J3,DBP.BS.J4,DBP.BS.J5,DBP.P3.J1,DBP.P3.J2,DBP.P3.J3,DBP.P3.J4,DBP.P3.J5,TBAC.AS3.J1,TBAC.AS3.J2,TBAC.AS3.J3,TBAC.AS3.J4,TBAC.AS3.J5,TBAC.BS.J1,TBAC.BS.J2,TBAC.BS.J3,TBAC.BS.J4,TBAC.BS.J5,TBAC.P3.J1,TBAC.P3.J2,TBAC.P3.J3,TBAC.P3.J4,TBAC.P3.J5,TEC.AS1.J1,TEC.AS1.J2,TEC.AS1.J3,TEC.AS1.J4,TEC.AS1.J5,TEC.BS.J1,TEC.BS.J2,TEC.BS.J3,TEC.BS.J4,TEC.BS.J5,TEC.P1.J1,TEC.P1.J2,TEC.P1.J3,TEC.P1.J4,TEC.P1.J5
Otu1,1979,4504,4955,7385,3709,1761,3365,2437,2596,1371,4783,10038,25041,18401,11777,339,28018,5831,16008,10573,3520,4056,1599,4685,9292,13171,27482,38716,17447,21634,12266,2746,16273,17383,4934,5132,3929,8936,1730,3503,18390,19117,23290,20476,24753,12888,4381,1257,4630,5744,4849,5447,5939,3565,5636,27650,36629,25430,28947,20067
Otu10,3,65,56,28,70,596,169,391,101,172,6,2,4,17,8,8,81,25,33,110,188,194,1,197,1483,11,0,1,2,0,28,46,59,49,76,667,137,184,110,173,0,4,4,1,11,178,27,55,115,68,504,207,280,187,322,2,2,4,0,3
Otu100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Otu101,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
Otu102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu103,0,6,7,3,1,0,4,2,2,2,1,0,2,3,0,0,4,2,0,4,0,15,0,0,14,0,2,1,3,0,6,1,3,1,6,2,13,0,0,2,2,0,1,0,0,0,0,0,0,3,0,18,22,0,0,3,3,0,0,0
Otu104,0,0,24,2,0,1,4,0,0,0,0,0,0,0,0,0,1,32,135,0,0,0,0,11,1,2,1,0,0,0,0,0,2,0,0,0,0,13,0,11,0,0,0,0,1,1,1,0,0,0,4,0,6,0,0,0,0,1,0,0
Otu105,2,1320,196,158,28,35,67,46,78,28,98,3187,1012,641,17,4,1102,206,625,66,118,132,0,141,125,22,228,288,42,55,141,14,194,286,93,120,114,194,69,94,40,13,54,278,251,15,35,12,41,64,132,141,200,139,269,25,31,13,69,10
Otu106,212,322,645,202,207,213,834,528,389,360,6,1,16,30,10,14,3933,770,1814,255,623,1909,1101,1072,1512,45,24,5,23,22,564,83,930,557,243,852,292,1363,296,451,15,11,21,4,19,542,640,271,415,499,1893,1941,1729,1344,1310,3,5,8,2,2
Otu107,0,0,0,0,0,5,2,1,0,1,0,0,0,1,0,0,25,10,0,7,0,4,0,0,0,0,0,0,0,0,2,0,0,1,10,0,17,31,0,8,2,1,0,0,1,0,128,0,12,0,4,0,3,1,3,0,0,0,0,0
Otu108,0,3,6,1717,8,2,3,2,2,11,0,3,9,1659,2,2,0,0,0,2,1,0,0,0,0,4,4,0,3,4,7,2,0,0,3,1,4,0,1,0,0,1,4,4,0,3111,0,0,0,0,770,1,0,0,0,4900,0,6,0,2
Otu109,0,4,0,3,0,4,2,3,0,6,0,0,0,1,0,0,4,0,1,1,0,2,0,9,4,6,0,1,2,0,1,1,0,0,0,1,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
Otu11,0,8,48,26,7,9,21,7,12,8,82,0,1,2,0,2428,27,15,24,10,1,38,637,4,0,16031,0,94,6,4,19,3,3,8,6,5,3,7,5,7,54,0,20,1,57,0,9,4,15,0,41,11,20,3,1,0,91,0,64,0
Otu110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Otu111,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0
Otu112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,26,0,15,0,158,0,0,0,0,1
Otu113,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0
Otu114,0,0,0,0,0,1,7,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,6,1,12,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0
Otu115,7447,1,5,0,0,1,1,0,0,0,30627,0,1,0,0,100,5,1,1,0,1659,13,0,1,0,767,0,117,0,0,1,0,0,1,2,0,0,0,0,0,76,0,1,0,58,11,0,1,1,52,1,0,0,0,0,0,111,0,67,0
Otu116,0,0,0,0,0,2,1,5,3,3,1,0,1,14,0,1,6,0,0,1,30,21,10,10,1,0,0,0,2,0,15,0,18,5,1,6,4,26,0,8,2,0,9,0,2,0,0,1,0,0,36,0,26,24,4,0,0,19,0,1
Otu117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,183,0,0,0,0,0
Otu118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu119,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,6,0,0,0,0,0,0,0,10,0,0,5,43,0,0,0,0,0,0,0,0,0
Otu12,43,86,478,188,136,180,163,231,74,83,19,2,42,571,101,4,126,133,1639,243,83,551,423,93,298,49,83,516,329,11,1024,29,480,286,218,84,234,136,417,119,140,54,6,35,59,126,5,2,1,80,117,241,119,44,91,47,28,3,24,11
Otu120,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,280,0,8,0,0,0,0,0,0,0,0,0
Otu122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0
Otu123,0,0,30,13,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu125,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
Otu127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Otu128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu129,0,1,0,0,72,0,1,0,4,14,0,0,0,0,26,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0,0,0,0
Otu13,1,8,7,2,273,0,96,1010,4,17,7,1,63,3,192,13,8154,826,1697,0,239,713,6,5,111,193,742,227,19,1,516,2,10,213,2,68,50,191,82,22,357,4,1,22,3,1730,1,60,54,2,823,10,12,175,594,212,8,3,7,51
Otu130,0,0,13,0,0,0,6,1,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
Otu131,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,3,0,1,0,1,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0,3,0,3,0,0,0,122,0,0,0,0,0,0,0,0,0,0,11,0,109,0,0,0,0,0,0,0,0,0
Otu133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,132,0,0,0,0,1,0,0,0,0,0,0,0
Otu134,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otu135,0,1,0,0,1,2,0,3,1,0,0,0,0,1,0,0,9,0,0,0,0,0,44,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Otu137,0,2,1,0,2,15,10,13,1,0,0,0,0,1,0,0,43,34,34,6,32,26,0,21,13,0,0,0,0,0,32,2,38,0,2,5,17,21,17,6,1,0,0,1,0,0,0,37,2,42,26,7,26,14,60,0,0,0,0,0
Otu138,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
Otu139,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0,0,0,0,1,0,0,0,0,13,108,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0
Otu14,5,370,336,354,76,314,2272,832,550,1091,0,0,1,1,0,4,1973,1350,2181,23,899,4839,2172,1288,563,38,0,3,2,0,344,155,661,197,768,893,302,2305,834,506,0,1,2,0,1,232,2609,263,131,561,3336,2051,1660,2238,2541,0,1,0,177,4
Otu140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302,0,0,0,0,0,0
Otu141,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,0,0,0,0,0,0
Otu142,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu143,0,14,10,5,19,6,17,17,7,12,0,0,0,0,0,0,27,6,11,3,13,17,7,13,40,0,0,0,0,0,14,4,19,14,14,19,21,23,5,6,0,0,0,0,0,22,8,4,5,7,9,24,25,12,19,0,1,0,0,0
Otu144,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu145,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Otu147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,38,9,4,1
Otu148,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0,26,0,0,0,0,0
Otu149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
Otu15,1,267,231,820,74,3434,408,1647,216,129,5,0,8,75,0,21,2111,101,44,349,338,2131,7,344,607,9,0,487,32,2,173,216,654,195,1244,587,82,484,152,762,2,2,4,2,4,31,1598,202,766,573,630,151,699,365,302,1,0,0,42,53
Otu150,0,6,6,8,6,2,10,5,6,1,1,1,0,0,0,0,6,0,0,18,2,0,0,5,3,0,0,0,1,0,29,7,7,10,9,9,7,4,2,2,0,0,1,0,0,0,2,0,3,1,4,1,14,3,0,1,0,0,0,0
Otu151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu152,0,3,2,0,0,1,11,7,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,13,5,8,11,21,4,8,10,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0
Otu153,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Otu155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,70,0,0,0,0,0,0,0,0,0,0
Otu156,0,3,1,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,24,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0
Otu157,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,34,0,0,4,0,0,0,43,1,0,13,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0
Otu159,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Otu16,22,64,293,175,18,223,102,168,55,32,7,1,313,97,7,12,597,102,175,794,237,124,172,581,163,147,14,152,186,41,50,26,258,36,104,152,219,78,50,146,34,20,4,9,9,5,22,20,192,24,476,103,509,156,439,147,73,6,23,2
Otu160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Otu162,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,1,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
Otu164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
Otu165,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
Otu167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,142,0,0,0,0,0,6,0,0,0,59,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
Otu169,0,0,0,0,3,4,6,3,4,0,0,0,0,0,0,0,2,0,0,0,0,66,0,1,0,0,0,0,0,0,1,0,4,3,2,0,4,0,0,0,0,0,0,0,0,0,0,52,1,0,1,0,1,0,0,0,0,0,0,0
Otu17,2459,5,2,3159,2,1,4,6,285,4,1,0,0,1202,0,2,17,0,0,983,0,0,0,1270,1235,3,2,1,625,519,2,0,2,0,2,5,0,0,0,1,1,1,3,0,0,0,465,244,3,635,42,2153,1842,1,1,0,895,1168,4,0
Otu170,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu171,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu173,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu174,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu175,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu177,0,0,9,2,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,1,7,16,0,0,21,0,0,0,0,0,0,1,0,15,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0
Otu178,0,4,5,0,0,2,2,4,3,0,0,1,0,0,0,0,1,0,0,0,20,0,0,0,18,0,0,0,0,0,0,1,2,5,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,10,0,0,0,1,0,0,0
Otu179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu18,1,146,816,108,94,45,191,147,70,97,7,11,309,41,13,9,405,95,304,76,115,227,36,275,287,23,84,82,189,29,296,56,70,376,236,300,278,235,118,246,20,23,18,47,80,333,242,94,118,271,148,315,276,139,216,11,101,45,20,8
Otu180,0,0,0,0,0,6,1,0,3,5,0,0,0,0,0,1,0,0,0,2,0,5,0,0,3,0,0,1,0,0,1,0,1,6,9,1,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
